otherCatalogNumbers,basisOfRecord,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,associatedSequences
SEA0334,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,NA
SEA0335,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0336,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla,gurnardus,NA
SEA0337,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,cuculus,NA
SEA0338,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa,NA
SEA0339,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,flesus,NA
SEA0340,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0341,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0342,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Lepidorhombus,whiffiagonis,NA
SEA0343,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,NA
SEA0344,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,labrax,NA
SEA0345,TissueSample,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardina,pilchardus,NA
SEA0346,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,NA
SEA0347,TissueSample,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,NA
SEA0348,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Mullus,surmuletus,NA
SEA0349,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,minuta,NA
SEA0350,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,minuta,NA
SEA0351,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,minuta,NA
SEA0352,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,niger,NA
SEA0353,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,niger,NA
SEA0354,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobius,niger,NA
SEA0355,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,,NA
SEA0356,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,,NA
SEA0357,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,,NA
SEA0358,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Buglossidium,luteum,NA
SEA0359,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,,NA
SEA0360,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,purpurea,MW818348
SEA0361,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,purpurea,MW818349
SEA0362,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Lepadogaster,purpurea,NA
SEA0363,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,MW818303
SEA0364,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,MW818350
SEA0365,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,MW818292
SEA0366,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0367,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0368,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,MW818281
SEA0369,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0370,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0371,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,MW818270
SEA0372,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0373,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0374,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0375,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,MW818351
SEA0376,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0377,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,NA
SEA0378,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0379,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0380,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,MW818427
SEA0381,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0382,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,MW818258
SEA0383,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,MW818352
SEA0384,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,MW818353
SEA0385,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,NA
SEA0386,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,lucerna,NA
SEA0387,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,NA
SEA0388,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Taurulus,bubalis,MW818264
SEA0389,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,liparis,MW818390
SEA0390,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,MW818262
SEA0391,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Entelurus,aequoreus,MW818391
SEA0392,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818240
SEA0393,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,NA
SEA0394,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,liparis,MW818354
SEA0395,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,liparis,MW818355
SEA0396,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,liparis,NA
SEA0397,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,montagui,MW818356
SEA0398,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,NA
SEA0399,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,MW818357
SEA0400,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,MW818358
SEA0401,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0402,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0403,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0404,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0405,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0406,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0407,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0408,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0409,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0410,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0411,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0412,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0413,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,minutus,NA
SEA0414,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,lozanoi,NA
SEA0415,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,lozanoi,NA
SEA0416,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,lozanoi,NA
SEA0417,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,lucerna,MW818308
SEA0418,TissueSample,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0419,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,MW818297
SEA0420,TissueSample,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,lucerna,NA
SEA0421,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,MW818286
SEA0422,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0423,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0424,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,MW818274
SEA0425,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,NA
SEA0426,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,NA
SEA0427,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus,lyra,NA
SEA0428,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,MW818359
SEA0429,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,MW818360
SEA0430,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,MW818361
SEA0431,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,MW818362
SEA0432,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0433,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0434,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0435,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0436,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0437,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,microps,NA
SEA0438,TissueSample,species,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,belone,NA
SEA0439,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Parablennius,gattorugine,MW818363
SEA0440,TissueSample,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Trisopterus,luscus,MW818364
SEA0441,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,MW818280
SEA0442,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,scombrus,MW818269
SEA0443,TissueSample,species,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,belone,MW818257
SEA0444,TissueSample,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius,MW818247
SEA0445,TissueSample,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius,MW818235
SEA0446,TissueSample,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,pollachius,NA
SEA0447,TissueSample,species,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherina,boyeri,MW818224
SEA0448,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818246
SEA0449,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818234
SEA0450,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,lastoviza,MW818223
SEA0451,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,MW818365
SEA0452,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,MW818366
SEA0453,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,conger,MW818401
SEA0454,TissueSample,species,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Triakidae,Mustelus,asterias,MW818302
SEA0455,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,MW818367
SEA0456,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0457,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0458,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0459,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,MW818402
SEA0460,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,encrasicolus,MW818368
SEA0461,TissueSample,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,NA
SEA0462,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,NA
SEA0463,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Pomatoschistus,pictus,NA
SEA0464,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Gobiusculus,flavescens,MW818403
SEA0465,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,MW818291
SEA0466,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,typhle,MW818404
SEA0467,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,MW818369
SEA0468,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,MW818370
SEA0469,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0470,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0471,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0472,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0473,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0474,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,MW818371
SEA0475,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0476,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,NA
SEA0477,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Eutrigla,gurnardus,MW818372
SEA0478,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,NA
SEA0479,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,MW818231
SEA0480,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,MW818373
SEA0481,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0482,TissueSample,species,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,undulata,MW818374
SEA0483,TissueSample,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0484,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,MW818405
SEA0485,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0486,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0487,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,rostellatus,NA
SEA0488,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Gasterosteidae,Spinachia,spinachia,NA
SEA0489,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,ramada,NA
SEA0490,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,MW818263
SEA0491,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,MW818251
SEA0492,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,melops,NA
SEA0493,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Symphodus,bailloni,MW818375
SEA0494,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,NA
SEA0495,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,MW818220
SEA0496,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Merlangius,merlangus,NA
SEA0497,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,lucerna,MW818241
SEA0498,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,montagui,MW818421
SEA0499,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,NA
SEA0500,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,NA
SEA0501,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,NA
SEA0502,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,mustela,NA
SEA0503,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,MW818376
SEA0504,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,MW818377
SEA0505,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,MW818378
SEA0506,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,hippocampus,NA
SEA0507,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,gunnellus,MW818379
SEA0508,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,NA
SEA0509,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0510,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0511,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Pegusa,lascaris,NA
SEA0512,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Ctenolabrus,rupestris,MW818232
SEA0513,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,septentrionalis,MW818406
SEA0514,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Ciliata,septentrionalis,MW818380
SEA0515,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,MW818299
SEA0516,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,MW818288
SEA0517,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,vipera,NA
SEA0518,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,NA
SEA0519,PreservedSpecimen,species,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,canicula,MW818381
SEA0520,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
SEA0521,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,MW818298
SEA0522,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,MW818287
SEA0523,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,NA
SEA0524,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Blennius,ocellaris,NA
SEA0525,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,vipera,MW818242
SEA0526,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Labrus,bergylta,NA
SEA0527,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,MW818276
SEA0528,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,MW818265
SEA0529,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,NA
SEA0530,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,rhombus,NA
SEA0531,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,MW818253
SEA0532,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,MW818243
SEA0533,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,NA
SEA0534,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,vipera,MW818230
SEA0535,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,vipera,NA
SEA0536,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Trachinidae,Echiichthys,vipera,NA
SEA0537,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Spondyliosoma,cantharus,MW818245
SEA0538,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Spondyliosoma,cantharus,MW818233
SEA0539,TissueSample,species,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,Spondyliosoma,cantharus,NA
SEA0540,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0541,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,acus,NA
SEA0542,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone,belone,MW818222
SEA0543,PreservedSpecimen,genus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818301
SEA0544,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,MW818290
SEA0545,PreservedSpecimen,species,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,tobianus,NA
SEA0546,TissueSample,species,Animalia,Chordata,Actinopterygii,Lophiiformes,Lophiidae,Lophius,piscatorius,NA
SEA0547,TissueSample,species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,kitt,NA
